tag_id,tag_print,tag,games_with_this_tag,votes_for_this_tag,tag_weight,price_median,undersore_median,owners_median,playtime_median
157,2.5D,2.5d,63,"2,193",35,$9.99 ,82.50%,"3,160,000",3:30
289,Sailing,sailing,14,485,35,$8.49 ,70.50%,"1,360,000",1:31
185,Clicker,clicker,44,"1,554",35,$0.49 ,74.50%,"1,360,000",0:59
322,Gambling,gambling,6,212,35,$0 ,77%,"7,680,000",5:33
266,Grid-Based Movement,grid_based_movement,20,670,34,$9.99 ,77.50%,"1,810,000",3:11
293,Web Publishing,web_publishing,13,443,34,$9.99 ,85%,"900,000",1:10
209,Score Attack,score_attack,34,"1,159",34,$4.99 ,90%,"2,260,000",1:53
38,Arcade,arcade,446,"14,921",33,$4.99 ,82.50%,"2,260,000",2:52
172,Design & Illustration,design_&_illustration,51,"1,697",33,$0 ,80%,"450,000",0:31
180,Tactical RPG,tactical_rpg,46,"1,461",32,$9.99 ,84%,"1,360,000",1:36
133,Twin Stick Shooter,twin_stick_shooter,87,"2,799",32,$7.49 ,84%,"1,810,000",2:57
205,Strategy RPG,strategy_rpg,37,"1,135",31,$14.99 ,80%,"1,360,000",2:53
200,Wargame,wargame,39,"1,155",30,$19.99 ,78%,"2,260,000",3:19
259,Programming,programming,21,625,30,$12.99 ,89%,"1,580,000",3:00
278,Pinball,pinball,16,476,30,$5.74 ,68%,"1,810,000",0:34
96,Puzzle-Platformer,puzzle_platformer,146,"4,244",29,$5.99 ,85%,"1,810,000",2:31
231,Otome,otome,29,808,28,$9.99 ,87%,"900,000",4:12
236,Audio Production,audio_production,28,772,28,$9.99 ,71%,"680,000",3:57
71,Shoot 'Em Up,shoot_'em_up,207,"5,852",28,$4.99 ,85%,"1,360,000",2:47
314,Photo Editing,photo_editing,7,187,27,$0 ,50%,"450,000",0:25
164,Match 3,match_3,57,"1,486",26,$4.99 ,75%,"900,000",2:16
166,Abstract,abstract,53,"1,378",26,$3.24 ,83%,"1,360,000",1:20
87,RPGMaker,rpgmaker,161,"4,256",26,$2.99 ,81%,"1,360,000",3:16
334,360 Video,360_video,3,79,26,$0 ,66%,"1,130,000",6:29
213,GameMaker,gamemaker,33,809,25,$9.99 ,86.50%,"2,710,000",3:05
256,Dark Comedy,dark_comedy,23,578,25,$3.99 ,85%,"1,360,000",4:43
335,Cycling,cycling,2,47,24,$19.99 ,80.50%,"900,000",11:42
287,6DOF,6dof,14,336,24,$9.99 ,74%,"1,360,000",0:45
177,Touch-Friendly,touch_friendly,49,"1,187",24,$4.99 ,89%,"3,620,000",2:53
176,Experimental,experimental,49,"1,186",24,$4.49 ,75.50%,"1,810,000",1:14
115,Minimalist,minimalist,111,"2,633",24,$2.99 ,88%,"1,360,000",2:21
220,Video Production,video_production,32,761,24,$0 ,72%,"900,000",0:31
325,Voice Control,voice_control,5,107,21,$9.99 ,77.50%,"450,000",0:40
321,Word Game,word_game,6,123,21,$7.49 ,86.50%,"1,360,000",12:34
111,Hidden Object,hidden_object,119,"2,462",21,$6.99 ,77.50%,"450,000",3:01
323,Lemmings,lemmings,6,123,21,$5.49 ,80.50%,"450,000",2:30
329,Pool,pool,4,82,21,$1.49 ,75.50%,"4,520,000",3:27
